pair,entry_tf,signal_tf,start_utc,end_utc,trades,win_rate,total_return,max_drawdown,profit_factor,avg_trade_return,notes
BTCMYR,15m,1h,"2025-07-04 05:30:00 UTC","2025-12-31 05:00:00 UTC",3,0.333333,-0.002628,0.002226,0.380770,-0.000082,"Walk-forward OK (Negative)"
ETHMYR,15m,1h,"2025-07-04 05:30:00 UTC","2025-12-31 05:00:00 UTC",5,0.400000,-0.007495,0.007388,0.664049,-0.002270,"Walk-forward OK (Negative)"
XRPMYR,15m,1h,"2025-07-04 05:30:00 UTC","2025-12-31 05:00:00 UTC",13,0.461538,-0.027897,0.022771,0.019095,-0.001876,"Walk-forward OK (Negative)"
SOLMYR,15m,1h,"2025-07-04 05:30:00 UTC","2025-12-31 05:00:00 UTC",11,0.272727,-0.030594,0.015213,0.166521,-0.003181,"Walk-forward OK (Negative)"
